DEB [20230224-03:58:38.133] thr=1   paramiko.transport: starting thread (client mode): 0xc3fee880
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: client lang: <none>
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: server lang: <none>
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: kex follows: False
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: Compression: none
DEB [20230224-03:58:38.147] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230224-03:58:38.156] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230224-03:58:38.156] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230224-03:58:38.157] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com'}
DEB [20230224-03:58:38.157] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 10.1.1.5: b'c11cd10c4cf25ff320d6482c005182fc'
DEB [20230224-03:58:38.158] thr=1   paramiko.transport: userauth is OK
INF [20230224-03:58:38.182] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230224-03:58:38.183] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230224-03:58:38.763] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230224-03:58:38.763] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230224-03:58:38.808] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230224-03:58:38.808] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230224-03:58:38.810] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230224-03:58:38.855] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230224-03:58:38.856] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230224-03:58:38.856] thr=1   paramiko.transport: Dropping user packet because connection is dead.
DEB [20230224-04:02:04.040] thr=1   paramiko.transport: starting thread (client mode): 0x5ed4880
DEB [20230224-04:02:04.041] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230224-04:02:04.052] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5
INF [20230224-04:02:04.052] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: client lang: <none>
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: server lang: <none>
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: kex follows: False
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230224-04:02:04.054] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230224-04:02:04.055] thr=1   paramiko.transport: Compression: none
DEB [20230224-04:02:04.055] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230224-04:02:04.064] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230224-04:02:04.064] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230224-04:02:04.065] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com'}
DEB [20230224-04:02:04.065] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 10.1.1.5: b'c11cd10c4cf25ff320d6482c005182fc'
DEB [20230224-04:02:04.066] thr=1   paramiko.transport: userauth is OK
INF [20230224-04:02:04.079] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230224-04:02:04.079] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230224-04:02:04.695] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230224-04:02:04.695] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230224-04:02:04.736] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230224-04:02:04.736] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230224-04:02:04.739] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230224-04:02:04.777] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230224-04:02:04.778] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230224-04:02:04.778] thr=1   paramiko.transport: EOF in transport thread
DEB [20230224-04:05:55.463] thr=1   paramiko.transport: starting thread (client mode): 0x3cf81dc0
DEB [20230224-04:05:55.463] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230224-04:05:55.476] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5
INF [20230224-04:05:55.476] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:05:55.478] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: client lang: <none>
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: server lang: <none>
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: kex follows: False
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: Compression: none
DEB [20230224-04:05:55.479] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230224-04:05:55.488] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230224-04:05:55.488] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230224-04:05:55.488] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com'}
DEB [20230224-04:05:55.489] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 10.1.1.5: b'c11cd10c4cf25ff320d6482c005182fc'
DEB [20230224-04:05:55.490] thr=1   paramiko.transport: userauth is OK
INF [20230224-04:05:55.502] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230224-04:05:55.503] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230224-04:05:56.130] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230224-04:05:56.131] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230224-04:05:56.171] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230224-04:05:56.172] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230224-04:05:56.174] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230224-04:06:20.788] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230224-04:06:20.788] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230224-04:07:13.945] thr=1   paramiko.transport: starting thread (client mode): 0x309cfdc0
DEB [20230224-04:07:13.946] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230224-04:07:13.958] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5
INF [20230224-04:07:13.958] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: client lang: <none>
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: server lang: <none>
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: kex follows: False
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: Compression: none
DEB [20230224-04:07:13.960] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230224-04:07:13.969] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230224-04:07:13.970] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230224-04:07:13.970] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com'}
DEB [20230224-04:07:13.970] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 10.1.1.5: b'c11cd10c4cf25ff320d6482c005182fc'
DEB [20230224-04:07:13.971] thr=1   paramiko.transport: userauth is OK
INF [20230224-04:07:13.995] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230224-04:07:13.995] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230224-04:07:14.731] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230224-04:07:14.731] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230224-04:07:14.776] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230224-04:07:14.776] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230224-04:07:14.778] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230224-04:07:14.825] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230224-04:07:14.826] thr=1   paramiko.transport: EOF in transport thread
DEB [20230224-04:07:14.826] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230224-04:07:14.826] thr=2   paramiko.transport: Dropping user packet because connection is dead.
DEB [20230224-04:08:38.977] thr=1   paramiko.transport: starting thread (client mode): 0xcdeddc0
DEB [20230224-04:08:38.977] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.11.0
DEB [20230224-04:08:38.988] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.5
INF [20230224-04:08:38.988] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20230224-04:08:38.990] thr=1   paramiko.transport: client lang: <none>
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: server lang: <none>
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: kex follows: False
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: Compression: none
DEB [20230224-04:08:38.991] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20230224-04:08:39.000] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20230224-04:08:39.000] thr=1   paramiko.transport: Switch to new keys ...
DEB [20230224-04:08:39.001] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ssh-rsa,rsa-sha2-256,rsa-sha2-512,ssh-dss,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com'}
DEB [20230224-04:08:39.002] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 10.1.1.5: b'c11cd10c4cf25ff320d6482c005182fc'
DEB [20230224-04:08:39.003] thr=1   paramiko.transport: userauth is OK
INF [20230224-04:08:39.027] thr=1   paramiko.transport: Authentication (password) successful!
DEB [20230224-04:08:39.028] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20230224-04:08:39.629] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20230224-04:08:39.629] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20230224-04:08:39.672] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20230224-04:08:39.672] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20230224-04:08:39.674] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20230224-04:08:42.824] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20230224-04:08:42.825] thr=2   paramiko.transport: [chan 0] EOF sent (0)
DEB [20230224-04:08:42.825] thr=2   paramiko.transport: Dropping user packet because connection is dead.
